2021-04-22 14:56:23.823 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.823 [t1] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.839 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.839 [t1] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.854 [t1] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.854 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.869 [t2] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.869 [t1] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.885 [t1] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.885 [t2] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.900 [t1] DEBUG LiveLock - count: 5
2021-04-22 14:56:23.900 [t2] DEBUG LiveLock - count: 5
2021-04-22 14:56:23.916 [t2] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.916 [t1] DEBUG LiveLock - count: 5
2021-04-22 14:56:23.932 [t1] DEBUG LiveLock - count: 4
2021-04-22 14:56:23.932 [t2] DEBUG LiveLock - count: 4
2021-04-22 14:56:23.948 [t2] DEBUG LiveLock - count: 3
2021-04-22 14:56:23.948 [t1] DEBUG LiveLock - count: 3
2021-04-22 14:56:23.964 [t2] DEBUG LiveLock - count: 4
2021-04-22 14:56:23.964 [t1] DEBUG LiveLock - count: 3
2021-04-22 14:56:23.980 [t2] DEBUG LiveLock - count: 2
2021-04-22 14:56:23.980 [t1] DEBUG LiveLock - count: 2
2021-04-22 14:56:23.996 [t1] DEBUG LiveLock - count: 1
2021-04-22 14:56:23.996 [t2] DEBUG LiveLock - count: 1
2021-04-22 14:56:24.012 [t2] DEBUG LiveLock - count: 1
2021-04-22 14:56:24.012 [t1] DEBUG LiveLock - count: 1
2021-04-22 14:56:24.028 [t2] DEBUG LiveLock - count: 1
2021-04-22 14:56:24.028 [t1] DEBUG LiveLock - count: 0
2021-04-22 14:56:24.043 [t1] DEBUG LiveLock - count: 1
2021-04-22 14:56:24.043 [t2] DEBUG LiveLock - count: 2
2021-04-22 14:56:24.059 [t2] DEBUG LiveLock - count: 0
